,Movie_Name,Relese_Year,Rating_Score,Meta_Score,Total_Votes,Gross_USA,Movie_Genre,Director_Star
0,Rogue One: A Star Wars Story,2016,7.8,65.0,647094,532177324,"Action, Adventure, Sci-Fi","Director:Gareth Edwards| Stars:Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen"
1,Finding Dory,2016,7.3,77.0,281491,486295561,"Animation, Adventure, Comedy","Directors:Andrew Stanton, Angus MacLane| Stars:Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson"
2,Captain America: Civil War,2016,7.8,75.0,796868,408084349,"Action, Sci-Fi","Directors:Anthony Russo, Joe Russo| Stars:Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
3,The Secret Life of Pets,2016,6.5,61.0,205691,368384330,"Animation, Adventure, Comedy","Director:Chris Renaud| Stars:Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell"
4,The Jungle Book,2016,7.4,77.0,280602,364001123,"Adventure, Drama, Family","Director:Jon Favreau| Stars:Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba"
5,Deadpool,2016,8.0,65.0,1048792,363070709,"Action, Comedy","Director:Tim Miller| Stars:Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein"
6,Zootopia,2016,8.0,78.0,506403,341268248,"Animation, Adventure, Comedy","Directors:Byron Howard, Rich Moore, Jared Bush| Stars:Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate"
7,Batman v Superman: Dawn of Justice,2016,6.4,44.0,705048,330360194,"Action, Adventure, Sci-Fi","Director:Zack Snyder| Stars:Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg"
8,Suicide Squad,2016,5.9,40.0,691950,325100054,"Action, Adventure, Fantasy","Director:David Ayer| Stars:Will Smith, Jared Leto, Margot Robbie, Viola Davis"
9,Sing,2016,7.1,59.0,174692,270395425,"Animation, Comedy, Family","Directors:Garth Jennings, Christophe Lourdelet| Stars:Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson"
10,Moana,2016,7.6,81.0,342909,248757044,"Animation, Adventure, Comedy","Directors:Ron Clements, John Musker, Don Hall, Chris Williams| Stars:Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison"
11,Fantastic Beasts and Where to Find Them,2016,7.2,66.0,481835,234037575,"Adventure, Family, Fantasy","Director:David Yates| Stars:Eddie Redmayne, Katherine Waterston, Alison Sudol, Dan Fogler"
12,Doctor Strange,2016,7.5,72.0,751819,232641920,"Action, Adventure, Fantasy","Director:Scott Derrickson| Stars:Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong"
13,Hidden Figures,2016,7.8,74.0,235102,169607287,"Biography, Drama, History","Director:Theodore Melfi| Stars:Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner"
14,Jason Bourne,2016,6.6,58.0,230782,162434410,"Action, Thriller","Director:Paul Greengrass| Stars:Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel"
15,Star Trek Beyond,2016,7.0,68.0,249119,158848340,"Action, Adventure, Sci-Fi","Director:Justin Lin| Stars:Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana"
16,X-Men: Apocalypse,2016,6.9,52.0,440452,155442489,"Action, Adventure, Sci-Fi","Director:Bryan Singer| Stars:James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult"
17,Trolls,2016,6.4,55.0,84252,153707064,"Animation, Adventure, Comedy","Directors:Mike Mitchell, Walt Dohrn| Stars:Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse"
18,La La Land,2016,8.0,94.0,600103,151101803,"Comedy, Drama, Music","Director:Damien Chazelle| Stars:Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons"
19,Kung Fu Panda 3,2016,7.1,66.0,164554,143528619,"Animation, Action, Adventure","Directors:Alessandro Carloni, Jennifer Yuh Nelson| Stars:Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie"
20,Split,IX) (2016,7.3,62.0,507844,138291365,"Horror, Thriller","Director:M. Night Shyamalan| Stars:James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula"
21,Ghostbusters: Answer the Call,2016,6.8,60.0,234773,128344089,"Action, Comedy, Fantasy","Director:Paul Feig| Stars:Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones"
22,Central Intelligence,2016,6.3,52.0,195897,127440871,"Action, Comedy, Crime","Director:Rawson Marshall Thurber| Stars:Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan"
23,The Legend of Tarzan,2016,6.2,44.0,179506,126643061,"Action, Adventure, Drama","Director:David Yates| Stars:Alexander Skarsgård, Rory J Saper, Christian Stevens, Christoph Waltz"
24,Sully,2016,7.4,74.0,277516,125070033,"Biography, Drama","Director:Clint Eastwood| Stars:Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey"
25,Janatha Garage,2016,7.2,,7573,120500000,"Action, Crime, Drama","Director:Koratala Siva| Stars:Mohanlal, N.T. Rama Rao Jr., Samantha Ruth Prabhu, Nithya Menen"
26,Bad Moms,2016,6.2,60.0,128289,113257297,Comedy,"Directors:Jon Lucas, Scott Moore| Stars:Mila Kunis, Kathryn Hahn, Kristen Bell, Christina Applegate"
27,Angry Birds,2016,6.3,43.0,95469,107509366,"Animation, Action, Adventure","Directors:Clay Kaytis, Fergal Reilly| Stars:Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph"
28,Independence Day: Resurgence,2016,5.2,32.0,181938,103144286,"Action, Adventure, Sci-Fi","Director:Roland Emmerich| Stars:Liam Hemsworth, Jeff Goldblum, Bill Pullman, Maika Monroe"
29,The Conjuring 2,2016,7.3,65.0,276341,102470008,"Horror, Mystery, Thriller","Director:James Wan| Stars:Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor"
30,Arrival,I2016,7.9,81.0,705349,100546139,"Drama, Mystery, Sci-Fi","Director:Denis Villeneuve| Stars:Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg"
31,Passengers,2016,7.0,41.0,413382,100014699,"Drama, Romance, Sci-Fi","Director:Morten Tyldum| Stars:Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne"
32,Sausage Party,2016,6.1,66.0,198263,97685686,"Animation, Adventure, Comedy","Directors:Greg Tiernan, Conrad Vernon| Stars:Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell"
33,The Magnificent Seven,2016,6.8,54.0,215195,93432655,"Action, Adventure, Western","Director:Antoine Fuqua| Stars:Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio"
34,Ride Along 2,2016,5.9,32.0,60150,91221830,"Action, Comedy, Crime","Director:Tim Story| Stars:Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt"
35,Don't Breathe,2016,7.1,71.0,280428,89217875,"Crime, Horror, Thriller","Director:Fede Alvarez| Stars:Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto"
36,Miss Peregrine's Home for Peculiar Children,2016,6.7,57.0,177300,87242834,"Adventure, Drama, Family","Director:Tim Burton| Stars:Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench"
37,The Accountant,2016,7.3,51.0,300383,86260045,"Action, Thriller","Director:Gavin O'Connor| Stars:Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal"
